zmp3_name	zmp3_id	artist_group	community	cluster	zmp3_genre1	zmp3_genre2	zmp3_genre3	zmp3_genre4
Quách Tuấn Du	5	Pop 9x Sến	6	21.0	Việt Nam	V-Pop		
Duyên Anh Idol	6	Pop Ballad Flop	0	39.0	Việt Nam	Dance Việt		
Tuấn Ngọc	12		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Đàm Vĩnh Hưng	16		6	21.0	Việt Nam	Nhạc Trữ Tình	Nhạc Trịnh	
Khánh Hà	28		6	18.0	Việt Nam	Nhạc Trữ Tình		
Cao Thái Sơn	29	V-pop Mainstream	0	21.0	Việt Nam	V-Pop		
Bức Tường	31		0		Việt Nam	Rock Việt		
Hồng Ngọc	33	Pop 9x thị trường	6	21.0	Việt Nam			
Khánh Linh	34	Pop Mainstream Vocal	6		Việt Nam			
Khánh Ngọc	35	Pop 9x Sến	33	6.0	Việt Nam	Nhạc Trữ Tình		
Quang Vinh	38	Pop 9x thị trường	0	21.0	Việt Nam			
Đan Trường	66	Pop 9x thị trường	6	21.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Lệ Quyên	100		6	21.0	Việt Nam	Nhạc Trữ Tình		
Cẩm Ly	112		6	21.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương
Thanh Thảo	117	Pop 9x thị trường	0	21.0	Việt Nam	Dance Việt		
Hồ Quỳnh Hương	118	Pop 9x thị trường	0		Việt Nam	V-Pop		
Thu Minh	134	Pop 9x thị trường	0		Việt Nam	Dance Việt	V-Pop	
Khánh Phương	209	Pop 9x Sến	0	21.0	Việt Nam			
Lâm Chấn Huy	211	Pop 9x Sến	0	21.0	Việt Nam	V-Pop	Dance Việt	
Lâm Hùng	212		0	21.0	Việt Nam	Dance Việt	V-Pop	
Lâm Nhật Tiến	213		6	17.0	Việt Nam	Nhạc Trữ Tình		
Lam Trường	214	Pop 9x thị trường	0	21.0	Việt Nam			
Lê Hiếu	215		0		Việt Nam			
Khởi My	241		0	21.0	Việt Nam	V-Pop		
Lương Bích Hữu	242		0	21.0	Việt Nam			
Lưu Hương Giang	247		0		Việt Nam	V-Pop	R&B Việt	
3 Con Mèo	297	Pop 9x thị trường	0	6.0	Việt Nam			
5 Dòng Kẻ	298	Pop 9x nhạc sang	6	18.0	Việt Nam	Nhạc Trữ Tình		
AC&M	300		6		Việt Nam			
Akira Phan	301	Pop 9x Sến	0	21.0	Việt Nam	V-Pop		
Anh Thơ	303		6	12.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	
Ánh Tuyết	305		6	18.0	Việt Nam	Nhạc Trữ Tình	Nhạc Cách Mạng	Nhạc Trịnh
Bằng Kiều	306	Pop 9x nhạc sang	6	21.0	Việt Nam	Nhạc Trữ Tình	V-Pop	
Bảo Yến	308		6		Việt Nam	Nhạc Trữ Tình		
Lương Bằng Quang	362	Pop 2000	0	6.0	Việt Nam			
Trường Vũ	366		6	28.0	Việt Nam	Nhạc Trữ Tình		
Chế Phong	367		6		Việt Nam	Nhạc Trữ Tình		
Thanh Lam	373	Pop 9x nhạc sang	6		Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Phi Nhung	374		6	28.0	Việt Nam	Nhạc Trữ Tình	Nhạc Dân Ca - Quê Hương	
Mỹ Tâm	376	Pop 9x thị trường	0		Việt Nam			
Ưng Hoàng Phúc	408		0	21.0	Việt Nam	V-Pop		
Việt Hoàn	413		6	12.0	Việt Nam	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương	
Trọng Tấn	418		6	12.0	Việt Nam	Nhạc Cách Mạng	Nhạc Dân Ca - Quê Hương	
Đông Nhi	444	V-pop Mainstream	0		Việt Nam	V-Pop		
Lý Hải	449	Pop 9x Sến	0	21.0	Việt Nam			
